"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.247444407E0,3.478317022E0,-9.236010313E-1,4.679090083E-1
9.256597324E0,3.406847954E0,-6.507050395E-1,3.133646548E-1
9.265737480E0,3.230771065E0,-3.862081766E-1,1.800472289E-1
9.274903157E0,3.045684338E0,-2.186833173E-1,1.255291104E-1
9.284056074E0,2.924431324E0,-1.837123185E-1,1.606528312E-1
9.293208990E0,2.870065928E0,-2.756448388E-1,2.428117841E-1
9.302361907E0,2.818143845E0,-3.724641204E-1,3.365768492E-1
9.311514876E0,2.740260839E0,-3.776563108E-1,4.111002088E-1
9.320655032E0,2.647870064E0,-3.330644667E-1,4.359922409E-1
9.329820709E0,2.550440073E0,-3.100049794E-1,4.017847776E-1
9.338973626E0,2.458812952E0,-3.562766612E-1,3.217637837E-1
9.348126542E0,2.392383337E0,-4.627167881E-1,2.225011140E-1
9.357279459E0,2.368102074E0,-6.306998134E-1,1.618745178E-1
9.366432376E0,2.392230511E0,-8.342646360E-1,1.421747059E-1
9.375585292E0,2.443999767E0,-9.842276573E-1,1.603474021E-1
9.384738209E0,2.482025146E0,-1.050199151E0,2.050919682E-1
9.393891126E0,2.480498075E0,-1.037982225E0,2.564031482E-1
9.403031334E0,2.445527077E0,-9.999569654E-1,2.812951505E-1
9.412197011E0,2.376653910E0,-9.465078115E-1,2.776300907E-1
9.421349928E0,2.285485029E0,-8.912261724E-1,2.811424434E-1
9.430490084E0,2.188971043E0,-8.472451568E-1,2.872509360E-1
9.439655761E0,2.094442606E0,-8.138012886E-1,2.675510943E-1
9.448808678E0,2.015337706E0,-7.887565494E-1,2.438807636E-1
9.457961594E0,1.951198816E0,-7.702783942E-1,2.171562016E-1
9.467114511E0,1.883242130E0,-7.348492742E-1,1.957765520E-1
9.476267428E0,1.813300133E0,-6.887302995E-1,1.733279079E-1
9.485420344E0,1.744274378E0,-6.082511544E-1,1.433963925E-1
9.494573261E0,1.676928401E0,-5.131117105E-1,1.178935245E-1
9.503726178E0,1.599503517E0,-4.584408700E-1,9.223793447E-2
9.512879146E0,1.492910743E0,-4.491254389E-1,6.276455522E-2
9.522032063E0,1.364174604E0,-4.453076422E-1,3.390202299E-2
9.531184980E0,1.227802992E0,-4.153761268E-1,-2.596100792E-3
9.540337896E0,1.088835239E0,-3.538332880E-1,-4.566083103E-2
9.549490813E0,9.776610136E-1,-2.504473627E-1,-8.689302206E-2
9.558643730E0,9.025267959E-1,-1.681357026E-1,-1.113269106E-1
9.567796646E0,8.374716043E-1,-1.386623234E-1,-1.123958975E-1
9.576949563E0,7.802046537E-1,-1.490467340E-1,-1.000262350E-1
9.586102480E0,6.983511448E-1,-1.725643575E-1,-8.780929446E-2
9.595255449E0,6.003101468E-1,-1.696628332E-1,-7.742489129E-2
9.604408365E0,5.239542127E-1,-1.769929975E-1,-6.688777357E-2
9.613561282E0,4.671454430E-1,-2.342599183E-1,-5.818320066E-2
9.622714199E0,4.103366435E-1,-2.994678617E-1,-4.688252881E-2
9.631867115E0,3.651339412E-1,-3.573456407E-1,-2.764083818E-2
9.641020032E0,3.171824515E-1,-3.897205591E-1,-4.581354442E-4
9.650172949E0,2.608317733E-1,-3.807105422E-1,2.473931387E-2
9.659325865E0,1.994416267E-1,-3.487937748E-1,4.199574888E-2
9.668478782E0,1.369825006E-1,-3.223746419E-1,5.436540768E-2
9.677631699E0,7.330167294E-2,-3.092414141E-1,6.856760383E-2
9.686784667E0,1.649287529E-2,-3.074088693E-1,8.154810965E-2
9.695937584E0,-3.390202299E-2,-3.122956753E-1,9.162709117E-2
9.705090501E0,-8.276980370E-2,-2.965663373E-1,9.987352788E-2
9.714243417E0,-1.201841980E-1,-2.564031482E-1,1.007898003E-1
9.723396334E0,-1.488940120E-1,-2.058555335E-1,9.804098308E-2
9.732549251E0,-1.782146841E-1,-1.672194302E-1,1.015533581E-1
9.741702167E0,-2.038702667E-1,-1.389677525E-1,1.110214889E-1
9.750855084E0,-2.312056869E-1,-1.322484314E-1,1.291942000E-1
9.760008001E0,-2.614426315E-1,-1.322484314E-1,1.510319859E-1
9.769160917E0,-2.962609231E-1,-1.093416587E-1,1.684411317E-1
9.778313834E0,-3.355078697E-1,-6.536065787E-2,1.797417998E-1
9.787466803E0,-3.672719002E-1,-2.321219631E-2,1.818797737E-1
9.796619719E0,-3.848337829E-1,6.261184346E-3,1.737860441E-1
9.805772636E0,-3.976615667E-1,1.221694518E-2,1.565296054E-1
9.814925553E0,-4.239279926E-1,-1.496575773E-2,1.349972486E-1
9.824078469E0,-4.549284875E-1,-3.924693540E-2,1.134648770E-1
9.833231386E0,-4.888305068E-1,-4.001049697E-2,9.437590092E-2
9.842384303E0,-5.253286362E-1,-2.015795931E-2,8.185353130E-2
9.851537219E0,-5.606050491E-1,5.650337320E-3,7.482878864E-2
9.860690188E0,-5.946598053E-1,2.122694254E-2,7.650861889E-2
9.869843105E0,-6.325323582E-1,4.291202128E-2,8.475505561E-2
9.878996021E0,-6.778877378E-1,7.360709459E-2,9.773556143E-2
9.888148938E0,-7.207997441E-1,1.192679256E-1,1.072036922E-1
9.897301855E0,-7.316423059E-1,1.663031727E-1,9.300149232E-2
9.906454771E0,-6.716265678E-1,2.211267054E-1,5.375456065E-2
9.915607688E0,-4.978405237E-1,2.728960216E-1,-2.260134928E-2
9.924747844E0,-2.440334857E-1,3.225273490E-1,-8.551861346E-2
9.933913521E0,1.038440317E-2,3.367295563E-1,-8.506047726E-2
9.943066490E0,1.896680743E-1,2.377723008E-1,-1.527118124E-2
9.952206646E0,2.860292196E-1,-3.344388679E-2,6.673506647E-2
9.961372324E0,3.188622594E-1,-3.747547865E-1,1.424801201E-1
9.970525240E0,2.718270421E-1,-5.114318728E-1,1.904316396E-1
9.979665396E0,1.586675793E-1,-2.363978922E-1,1.673721522E-1
9.988831074E0,6.826218218E-2,2.680092454E-1,6.688777357E-2
9.997983990E0,2.000524849E-2,6.780404449E-1,-2.901524492E-2
1.000712420E1,-1.186570823E-1,8.964183331E-1,-6.001574174E-2
1.001628982E1,-3.695625961E-1,8.984035850E-1,-5.329642445E-2
1.002544279E1,-5.317425132E-1,6.693359017E-1,-2.443389036E-3
1.003458295E1,-4.659237564E-1,2.962609231E-1,1.125486046E-1
1.004374863E1,-3.086305857E-1,-1.679830020E-3,2.764083743E-1
