"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.133046886E1,-4.566083103E-2,1.191152167E-2,-2.901524538E-3
1.133962043E1,-5.238015205E-2,1.068982761E-3,-1.068982761E-3
1.134877194E1,-5.971032009E-2,-4.428642802E-3,-0.000000000E0
1.135792350E1,-6.398624927E-2,-2.596100792E-3,1.221694518E-3
1.136707506E1,-5.650337040E-2,-1.038440317E-2,-2.443389036E-3
1.137622662E1,-4.031591862E-2,-2.473931387E-2,-9.620844387E-3
1.138537813E1,-2.718270384E-2,-4.947862774E-2,-1.801999472E-2
1.139452970E1,-1.023169141E-2,-7.055285573E-2,-2.458660305E-2
1.140368126E1,6.413896102E-3,-8.093725890E-2,-2.932066843E-2
1.141283282E1,1.572931744E-2,-8.154810965E-2,-3.176405653E-2
1.142198433E1,2.305948362E-2,-6.765133142E-2,-3.054236248E-2
1.143113589E1,2.779355086E-2,-5.314370990E-2,-2.244863659E-2
1.144028746E1,2.947338112E-2,-3.191677108E-2,-1.160609815E-2
1.144943902E1,2.122694254E-2,-1.328592747E-2,-3.054236295E-3
1.145859053E1,9.315420873E-3,1.221694518E-3,-1.527118147E-4
1.146774209E1,6.108472589E-4,1.435491070E-2,-2.596100792E-3
1.147689365E1,-4.428642802E-3,2.764083818E-2,-4.428642802E-3
1.148604522E1,-1.527118147E-3,3.970507160E-2,-4.428642802E-3
1.149519673E1,-1.985253533E-3,3.436015919E-2,-6.872031838E-3
1.150434829E1,-3.665083554E-3,1.450762246E-2,-7.482878864E-3
1.151349985E1,-7.941014133E-3,-3.054236295E-3,-1.053711493E-2
1.152265142E1,-9.620844387E-3,-8.551862091E-3,-1.114796288E-2
1.153180293E1,-9.009997360E-3,-1.343864016E-2,-1.420219894E-2
1.154095449E1,4.581354442E-4,-2.596100792E-2,-2.092151903E-2
1.155010605E1,9.926267900E-3,-4.825693369E-2,-2.443389036E-2
1.155925761E1,1.695101149E-2,-7.360709459E-2,-2.809897438E-2
1.156840912E1,1.527118124E-2,-9.529217333E-2,-2.870982140E-2
1.157756068E1,4.275931045E-3,-1.139230132E-1,-2.565558441E-2
1.158671225E1,-9.162709117E-3,-1.272089481E-1,-2.214321308E-2
1.159586381E1,-2.519745007E-2,-1.296523362E-1,-1.618745178E-2
1.160501532E1,-3.512371704E-2,-1.224748790E-1,-1.191152167E-2
1.161416688E1,-4.275930673E-2,-1.073564067E-1,-8.399149403E-3
1.162331845E1,-4.169032723E-2,-8.444963396E-2,-6.566607859E-3
1.163247001E1,-3.634541109E-2,-5.909947306E-2,-2.748812549E-3
1.164162152E1,-2.733541466E-2,-3.497100621E-2,9.162708884E-4
1.165077308E1,-1.832541823E-2,-2.000524849E-2,9.162708884E-4
1.165992464E1,-1.343864016E-2,-1.389677543E-2,-9.162708884E-4
1.166907621E1,-8.399149403E-3,-1.099525020E-2,-3.817795310E-3
1.167822777E1,-2.901524538E-3,-4.886778072E-3,-8.093725890E-3
1.168737928E1,1.221694518E-3,4.123218823E-3,-1.114796288E-2
1.169653084E1,7.635590737E-4,4.123218823E-3,-1.420219894E-2
1.170568240E1,-4.123218823E-3,-1.374406274E-3,-1.664558798E-2
1.171483392E1,-4.123218823E-3,-1.985253533E-3,-1.298050396E-2
1.172398548E1,-4.275931045E-3,4.581354442E-4,-8.704573847E-3
1.173313704E1,-1.832541777E-3,6.566607859E-3,-3.206948051E-3
1.174228860E1,1.221694518E-3,1.328592747E-2,-7.635590737E-4
1.175144011E1,2.290677279E-3,2.657185495E-2,4.581354442E-4
1.176059168E1,4.581354442E-4,3.252761811E-2,-1.985253533E-3
1.176974324E1,-1.527118147E-4,2.641914412E-2,-4.428642802E-3
1.177889480E1,3.054236295E-3,1.801999472E-2,-6.872031838E-3
1.178804631E1,3.206948051E-3,2.443389036E-3,-8.704573847E-3
1.179719787E1,7.635590737E-4,-1.206423342E-2,-1.114796288E-2
1.180634944E1,-1.679830020E-3,-1.450762246E-2,-9.926267900E-3
1.181550100E1,1.527118147E-4,-7.330167107E-3,-6.872031838E-3
1.182465251E1,-4.581354442E-4,-2.443389036E-3,-4.428642802E-3
1.183380407E1,-1.832541777E-3,-1.527118147E-4,-3.206948051E-3
1.184295563E1,-6.108472589E-3,-3.665083554E-3,4.581354442E-4
1.185210714E1,-1.221694518E-2,-9.162709117E-3,2.137965523E-3
1.186125871E1,-1.710372418E-2,-1.572931744E-2,1.527118147E-3
1.187041027E1,-1.939439960E-2,-2.840439789E-2,-9.162708884E-4
1.187956183E1,-2.046338283E-2,-4.169032723E-2,-4.581354558E-3
1.188871339E1,-2.046338283E-2,-4.825693369E-2,-7.024743594E-3
1.189786490E1,-1.557660475E-2,-4.825693369E-2,-6.872031838E-3
1.190701647E1,-1.252236869E-2,-4.474456236E-2,-6.872031838E-3
1.191616803E1,-1.313321572E-2,-4.169032723E-2,-6.872031838E-3
1.192531954E1,-1.496575773E-2,-3.206948191E-2,-6.413896102E-3
1.193447110E1,-1.878355257E-2,-1.695101149E-2,-5.192201585E-3
1.194362267E1,-1.893626526E-2,-1.221694518E-3,-1.527118147E-3
1.195277423E1,-1.481304597E-2,1.023169141E-2,3.054236295E-4
1.196192574E1,-9.315420873E-3,1.313321572E-2,2.137965523E-3
1.197107730E1,-5.650337320E-3,1.267508045E-2,2.290677279E-3
1.198022886E1,-6.261184346E-3,1.023169141E-2,2.901524538E-3
1.198938042E1,-8.093725890E-3,7.788302377E-3,2.290677279E-3
1.199853194E1,-9.315420873E-3,4.734066315E-3,1.068982761E-3
1.200768350E1,-8.551862091E-3,1.068982761E-3,-3.817795310E-3
1.201683506E1,-8.551862091E-3,4.123218823E-3,-4.428642802E-3
1.202598662E1,-7.330167107E-3,5.955760833E-3,-1.985253533E-3
1.203513813E1,-4.886778072E-3,8.399149403E-3,-7.635590737E-4
1.204428970E1,-1.221694518E-3,9.620844387E-3,4.581354442E-4
1.205344126E1,3.054236295E-3,5.955760833E-3,-1.527118147E-4
1.206259282E1,8.093725890E-3,2.290677279E-3,-2.596100792E-3
1.207174438E1,8.704573847E-3,5.344913341E-3,-5.039489828E-3
1.208089589E1,7.482878864E-3,4.734066315E-3,-6.261184346E-3
1.209004746E1,5.497625098E-3,7.788302377E-3,-6.261184346E-3
1.209919902E1,4.886778072E-3,9.620844387E-3,-2.596100792E-3
1.210835053E1,1.221694518E-3,1.374406368E-2,-2.596100792E-3
1.211750209E1,-3.817795310E-3,1.557660475E-2,-1.374406274E-3
1.212665365E1,-1.175880991E-2,1.313321572E-2,-3.970507067E-3
1.213580522E1,-1.786728203E-2,1.007897966E-2,-2.137965523E-3
1.214495673E1,-1.908897609E-2,9.009997360E-3,-3.054236295E-4
1.215410829E1,-1.786728203E-2,5.955760833E-3,1.527118147E-3
1.216325985E1,-1.359135192E-2,4.734066315E-3,3.054236295E-4
1.217241142E1,-8.551862091E-3,5.344913341E-3,-1.985253533E-3
1.218156293E1,-1.832541777E-3,6.566607859E-3,-2.596100792E-3
1.219071449E1,1.221694518E-3,2.901524538E-3,-2.596100792E-3
1.219986605E1,1.374406274E-3,-4.886778072E-3,-3.817795310E-3
1.220901761E1,-4.734066315E-3,-1.756185852E-2,-5.650337320E-3
1.221816912E1,-1.145338640E-2,-2.244863659E-2,-6.261184346E-3
1.222732068E1,-1.634016447E-2,-2.061609551E-2,-5.192201585E-3
1.223647225E1,-2.137965336E-2,-1.572931744E-2,-3.970507067E-3
1.224562381E1,-2.199050039E-2,-1.038440317E-2,-3.359660041E-3
1.225477532E1,-2.275406010E-2,-6.108472589E-3,-2.748812549E-3
1.226392688E1,-2.137965336E-2,-6.108472589E-3,-3.970507067E-3
1.227307845E1,-1.710372418E-2,-4.886778072E-3,-4.581354558E-3
1.228222996E1,-1.160609815E-2,-7.330167107E-3,-7.024743594E-3
1.229138152E1,-1.023169141E-2,-1.511846948E-2,-7.482878864E-3
1.230053308E1,-1.450762246E-2,-2.305948362E-2,-1.068982668E-2
1.230968464E1,-1.740914769E-2,-3.206948191E-2,-1.252236869E-2
1.231883615E1,-1.801999472E-2,-4.291202128E-2,-1.618745178E-2
1.232798772E1,-1.725643501E-2,-5.741964281E-2,-1.664558798E-2
1.233713928E1,-1.710372418E-2,-6.765133142E-2,-1.725643501E-2
1.234629084E1,-1.649287529E-2,-6.948387623E-2,-1.664558798E-2
1.235544235E1,-1.771457121E-2,-6.887302548E-2,-1.664558798E-2
1.236459392E1,-2.031067200E-2,-6.215370819E-2,-1.740914769E-2
1.237374548E1,-2.275406010E-2,-5.619794875E-2,-1.863084175E-2
1.238289704E1,-2.458660305E-2,-5.619794875E-2,-1.801999472E-2
1.239204855E1,-2.702999115E-2,-5.741964281E-2,-1.679829881E-2
1.240120011E1,-2.962609194E-2,-5.436540768E-2,-1.740914769E-2
1.241035168E1,-2.840439789E-2,-5.131116882E-2,-1.679829881E-2
1.241950324E1,-2.840439789E-2,-4.840964451E-2,-1.740914769E-2
1.242865475E1,-2.657185495E-2,-4.169032723E-2,-1.496575773E-2
1.243780631E1,-2.305948362E-2,-3.634541109E-2,-1.313321572E-2
1.244695787E1,-1.939439960E-2,-2.901524492E-2,-1.130067464E-2
1.245610938E1,-1.817270555E-2,-2.840439789E-2,-1.191152167E-2
1.246526095E1,-1.817270555E-2,-3.206948191E-2,-1.252236869E-2
1.247441251E1,-1.679829881E-2,-3.084778599E-2,-1.313321572E-2
1.248356407E1,-1.267508045E-2,-2.428117767E-2,-1.359135192E-2
1.249271563E1,-6.413896102E-3,-2.000524849E-2,-1.236965694E-2
1.250186714E1,-6.413896102E-3,-2.122694254E-2,-1.420219894E-2
1.251101871E1,-1.130067464E-2,-2.672456764E-2,-1.603474095E-2
1.252017027E1,-2.183778957E-2,-2.611372061E-2,-1.496575773E-2
1.252932178E1,-2.809897438E-2,-2.550287358E-2,-1.007897966E-2
1.253847334E1,-3.359659761E-2,-2.779355086E-2,-5.192201585E-3
1.254762490E1,-3.787253052E-2,-3.451287001E-2,-4.734066315E-3
1.255677647E1,-3.955236077E-2,-4.169032723E-2,-5.344913341E-3
1.256592798E1,-3.268032894E-2,-4.825693369E-2,-5.803049076E-3
1.257507954E1,-2.657185495E-2,-5.680879578E-2,-7.024743594E-3
1.258423110E1,-1.710372418E-2,-6.826218218E-2,-1.130067464E-2
1.259338266E1,-1.145338640E-2,-7.910472155E-2,-1.847812906E-2
1.260253418E1,-1.328592747E-2,-8.933641016E-2,-2.336490713E-2
1.261168574E1,-1.863084175E-2,-1.061347127E-1,-2.153236605E-2
1.262083730E1,-2.779355086E-2,-1.236965731E-1,-1.496575773E-2
1.262998886E1,-3.268032894E-2,-1.296523362E-1,-7.635590620E-3
1.263914037E1,-3.329117596E-2,-1.290414780E-1,-3.359660041E-3
1.264829194E1,-3.451287001E-2,-1.236965731E-1,-2.748812549E-3
1.265744350E1,-3.527642787E-2,-1.120904684E-1,-4.581354558E-3
1.266659501E1,-3.359659761E-2,-9.468132257E-2,-8.246437646E-3
1.267574657E1,-3.069507517E-2,-6.872031838E-2,-7.635590620E-3
1.268489813E1,-2.473931387E-2,-4.169032723E-2,-6.413896102E-3
1.269404970E1,-1.817270555E-2,-2.535016090E-2,-3.970507067E-3
1.270320121E1,-1.450762246E-2,-2.122694254E-2,-4.581354558E-3
1.271235277E1,-1.206423342E-2,-2.000524849E-2,-6.872031838E-3
1.272150433E1,-1.023169141E-2,-1.267508045E-2,-9.315420873E-3
1.273065589E1,-1.221694518E-2,-3.054236295E-3,-9.926267900E-3
1.273980740E1,-1.649287529E-2,-1.985253533E-3,-9.468132630E-3
1.274895897E1,-2.504473738E-2,-8.551862091E-3,-9.468132630E-3
1.275811053E1,-2.687728032E-2,-1.343864016E-2,-8.246437646E-3
1.276726209E1,-2.137965336E-2,-1.343864016E-2,-7.635590620E-3
1.277641360E1,-1.099525020E-2,-7.330167107E-3,-7.024743594E-3
1.278556517E1,2.596100792E-3,-2.443389036E-3,-1.114796288E-2
1.279471673E1,8.093725890E-3,-1.985253533E-3,-1.908897609E-2
1.280386829E1,4.428642802E-3,2.901524538E-3,-2.336490713E-2
1.281301980E1,-1.038440317E-2,1.007897966E-2,-2.107422985E-2
1.282217136E1,-2.702999115E-2,1.252236869E-2,-1.863084175E-2
1.283132292E1,-3.756710514E-2,8.857285604E-3,-1.939439960E-2
1.284047449E1,-4.306473210E-2,1.679830020E-3,-2.061609551E-2
